,word
1889,老
1890,分不清
1891,雨果
1892,究竟
1893,过分
1894,残忍
1895,还是
1896,过分
1897,仁慈
1898,不过
1899,这是
1900,小学
1901,看得
1902,惊心动魄
1903,早前
1904,一本
1905,疫情
1906,笼罩
1907,现实
1908,世界
1909,悲惨世界
1910,精彩
1911,地方
1912,非常
1913,精彩
1914,文风
1915,华丽
1916,异常
1917,气吞山河
1918,犹如
1919,闪电
1920,霹雳
1921,划破
1922,夜空
1923,一般
1924,光辉
1925,璀璨
1926,雨果
1927,一贯
1928,风格
1929,可惜
1930,缺点
1931,明显
1932,作者
1933,代入
1934,太
1935,自己
1936,观点
1937,感受
1938,对于
1939,法国
1940,社会
1941,面貌
1942,风土人情
1943,历史
1944,人物
1945,大段
1946,大段
1947,议论
1948,游离
1949,于主
1950,剧情
1951,之外
1952,仿佛
1953,自说自话
1954,的话
1955,唠
1956,丝毫
1957,顾及
1958,他人
1959,感受
1960,对于
1961,读者
1962,来说
1963,无论是
1964,还是
1965,距离
1966,太过
1967,遥远
1968,陌生感
1969,隔阂
1970,感
1971,十分
1972,严重
1973,昏昏欲睡
1974,补充
1975,废话
1976,实在
1977,太多
1978,剧情
1979,紧张
1980,作者
1981,突然
1982,花
1983,十几页
1984,自说自话
1985,讲
1986,什么
1987,巴黎
1988,下水道
1989,有个
1990,毛线
1991,关系
1992,啊
1993,一堆
1994,屁话
1995,另外
1996,沙威
1997,有点像
1998,九三年
1999,西
2000,穆尔
2001,丹
2002,雨果
2003,是不是
2004,特别
2005,喜欢
2006,塑造
2007,这种
2008,人物
2009,以德
2010,報怨
2011,Formula
2012,Code
2013,到底
2014,谁
2015,权力
2016,人判入
2017,地狱
2018,不得
2019,翻身
2020,法律
2021,上帝
2022,冉阿让
2023,两次
2024,自白
2025,纠结
2026,开始
2027,只想
2028,走
2029,主线
2030,剧情
2031,后面
2032,渐入佳境
2033,巴黎
2034,黑话
2035,阴渠
2036,两章
2037,写得
2038,超好
2039,起来
2040,有意思
2041,最后
2042,一卷
2043,看得
2044,嚎啕大哭
2045,心疼
2046,枷锁
2047,压
2048,一辈子
2049,一直
2050,赎罪
2051,寻求
2052,光明
2053,很久很久
2054,之前
2055,看过
2056,悲惨世界
2057,内容
2058,书名
2059,一样
2060,宏伟
2061,从小
2062,就读
2063,过得
2064,经典
2065,有时候
2066,正义
2067,相对而言
2068,社会
2069,这样
2070,辩证
2071,人性
2072,任何
2073,一样
2074,只要
2075,那三大
2076,存在
2077,这种
2078,得
2079,流传
2080,知道
2081,烛台
2082,送给
2083,一位
2084,天上
2085,满意
2086,自由
2087,平等
2088,补标
2089,073
2090,-
2091,5
2092,分
2093,书读
2094,重新
2095,复习
2096,一遍
2097,感觉
2098,一样
2099,一直
2100,敬佩
2101,内心
2102,善良
2103,慈闵
2104,现在
2105,做
2106,不到
2107,吧
2108,这种
2109,原谅
2110,伤害
2111,救赎
2112,一切
